,Gender,Age,Height,Built,State,District,Area,Railway
1166,MALE,20,153.0,3,DELHI,NARELA,NORTH,True
1167,MALE,24,153.0,3,DELHI,KHYALA,WEST,False
1168,MALE,25,153.0,3,DELHI,FATEHPUR BERI,SOUTH,False
1169,MALE,48,153.0,2,DELHI,MANGOL PURI,CENTRAL,True
1170,MALE,34,153.0,3,DELHI,VIJAY VIHAR,CENTRAL,False
1171,MALE,13,153.0,2,DELHI,NIHAL VIHAR,WEST,False
1172,MALE,85,153.0,2,DELHI,MANGOL PURI,CENTRAL,True
1173,MALE,30,153.0,2,DELHI,MANGOL PURI,CENTRAL,True
1174,MALE,34,153.0,5,DELHI,KANJHAWALA,NORTH WEST,False
1175,MALE,31,153.0,5,DELHI,KANJHAWALA,NORTH WEST,False
1176,MALE,78,153.0,3,DELHI,SHAHDARA,NORTH EAST,False
1177,MALE,12,122.0,2,DELHI,AMAN VIHAR,CENTRAL,False
1178,MALE,63,153.0,2,DELHI,CHHAWALA,SOUTH WEST,False
1179,MALE,85,153.0,5,DELHI,KANJHAWALA,NORTH WEST,False
1180,MALE,27,153.0,3,DELHI,HARSH VIHAR,NORTH EAST,False
1181,MALE,28,153.0,3,DELHI,SHAKARPUR,EAST,False
1182,MALE,38,153.0,3,DELHI,SAMAIPUR BADLI,CENTRAL,False
1183,MALE,35,153.0,3,DELHI,AMAN VIHAR,CENTRAL,False
1184,MALE,26,153.0,3,DELHI,NEW ASHOK NAGAR,EAST,False
1185,MALE,29,153.0,3,DELHI,MANGOL PURI,CENTRAL,True
1186,MALE,45,153.0,3,DELHI,NARELA,NORTH,True
1187,MALE,30,153.0,2,DELHI,KANJHAWALA,NORTH WEST,False
1188,MALE,15,153.0,3,DELHI,AMAN VIHAR,CENTRAL,False
1189,MALE,12,153.0,2,DELHI,SAMAIPUR BADLI,CENTRAL,False
1190,MALE,43,153.0,3,DELHI,ALIPUR,NORTH WEST,False
1191,MALE,58,153.0,6,DELHI,KIRTI NAGAR,WEST,False
1192,MALE,2,61.0,2,DELHI,SAMAIPUR BADLI,CENTRAL,False
1193,MALE,13,92.0,2,DELHI,KHYALA,WEST,False
1194,MALE,30,153.0,2,DELHI,BADARPUR,SOUTH EAST,False
1195,MALE,16,153.0,2,DELHI,PAHAR GANJ,CENTRAL,False
1196,MALE,38,153.0,5,DELHI,VIJAY VIHAR,CENTRAL,False
1197,MALE,26,153.0,2,DELHI,NARAINA,SOUTH WEST,True
1198,MALE,30,153.0,3,DELHI,NORTH ROHINI,NORTH WEST,False
1199,MALE,53,153.0,3,DELHI,MANGOL PURI,CENTRAL,True
1200,MALE,18,153.0,3,DELHI,VIJAY VIHAR,CENTRAL,False
1201,MALE,23,153.0,5,DELHI,PRASAD NAGAR,CENTRAL,False
1202,MALE,45,153.0,3,DELHI,KANJHAWALA,NORTH WEST,False
1203,MALE,18,153.0,3,DELHI,AMAN VIHAR,CENTRAL,False
1204,MALE,30,153.0,5,DELHI,SEELAMPUR,NORTH EAST,False
